/root/miniconda3/envs/npu/lib/python3.10/site-packages/torch_npu/contrib/transfer_to_npu.py:345: ImportWarning: 
    *************************************************************************************************************
    The torch.Tensor.cuda and torch.nn.Module.cuda are replaced with torch.Tensor.npu and torch.nn.Module.npu now..
    The torch.cuda.DoubleTensor is replaced with torch.npu.FloatTensor cause the double type is not supported now..
    The backend in torch.distributed.init_process_group set to hccl now..
    The torch.cuda.* and torch.cuda.amp.* are replaced with torch.npu.* and torch.npu.amp.* now..
    The device parameters have been replaced with npu in the function below:
    torch.logspace, torch.randint, torch.hann_window, torch.rand, torch.full_like, torch.ones_like, torch.rand_like, torch.randperm, torch.arange, torch.frombuffer, torch.normal, torch._empty_per_channel_affine_quantized, torch.empty_strided, torch.empty_like, torch.scalar_tensor, torch.tril_indices, torch.bartlett_window, torch.ones, torch.sparse_coo_tensor, torch.randn, torch.kaiser_window, torch.tensor, torch.triu_indices, torch.as_tensor, torch.zeros, torch.randint_like, torch.full, torch.eye, torch._sparse_csr_tensor_unsafe, torch.empty, torch._sparse_coo_tensor_unsafe, torch.blackman_window, torch.zeros_like, torch.range, torch.sparse_csr_tensor, torch.randn_like, torch.from_file, torch._cudnn_init_dropout_state, torch._empty_affine_quantized, torch.linspace, torch.hamming_window, torch.empty_quantized, torch._pin_memory, torch.load, torch.set_default_device, torch.get_device_module, torch.sparse_compressed_tensor, torch.Tensor.new_empty, torch.Tensor.new_empty_strided, torch.Tensor.new_full, torch.Tensor.new_ones, torch.Tensor.new_tensor, torch.Tensor.new_zeros, torch.Tensor.to, torch.Tensor.pin_memory, torch.nn.Module.to, torch.nn.Module.to_empty
    *************************************************************************************************************
    
  warnings.warn(msg, ImportWarning)
/root/miniconda3/envs/npu/lib/python3.10/site-packages/torch_npu/contrib/transfer_to_npu.py:276: RuntimeWarning: torch.jit.script and torch.jit.script_method will be disabled by transfer_to_npu, which currently does not support them, if you need to enable them, please do not use transfer_to_npu.
  warnings.warn(msg, RuntimeWarning)
/root/miniconda3/envs/npu/lib/python3.10/site-packages/torch_npu/npu/__init__.py:488: UserWarning: torch.npu.get_device_capability isn't implemented!
  warnings.warn("torch.npu.get_device_capability isn't implemented!")

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: npu
/root/miniconda3/envs/npu/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:4876: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  warnings.warn(  # warn only once
2026-03-16 15:52:36,347 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
NPU: Ascend910B2 | Peak FLOPS (BF16): 3.20e+14
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: NPU (bf16 supported))
✓ Using NPU Flash Attention (torch_npu.npu_fusion_attention), optimized for Ascend NPU.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,088
scalars                 : 24
total                   : 286,261,704
Estimated FLOPs per token: 8.870979e+08
Scaling LRs by 0.3062 for batch size 49,152 (reference: 524,288)
Scaling weight decay from 0.280000 to 0.085732 for depth 12
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Calculated number of iterations from target data:param ratio: 23,520
Total number of training tokens: 1,156,055,040
Tokens : Scaling params ratio: 10.50
Total training FLOPs estimate: 1.025534e+18
Tokens / micro-batch / rank: 24 x 2048 = 49,152
Tokens / micro-batch: 49,152
Total batch size 49,152 => gradient accumulation steps: 1
Step 00000 | Validation bpb: 3.169762
step 00000/23520 (0.00%) | loss: 10.398083 | lrm: 0.03 | dt: 612.17ms | tok/sec: 80,290 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/23520 (0.00%) | loss: 10.394740 | lrm: 0.05 | dt: 612.01ms | tok/sec: 80,312 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/23520 (0.01%) | loss: 10.389603 | lrm: 0.07 | dt: 612.62ms | tok/sec: 80,232 | bf16_mfu: 22.24 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00003/23520 (0.01%) | loss: 10.382044 | lrm: 0.10 | dt: 612.42ms | tok/sec: 80,258 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00004/23520 (0.02%) | loss: 10.371140 | lrm: 0.12 | dt: 612.50ms | tok/sec: 80,247 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00005/23520 (0.02%) | loss: 10.357862 | lrm: 0.15 | dt: 611.54ms | tok/sec: 80,374 | bf16_mfu: 22.28 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00006/23520 (0.03%) | loss: 10.339804 | lrm: 0.17 | dt: 611.59ms | tok/sec: 80,368 | bf16_mfu: 22.28 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00007/23520 (0.03%) | loss: 10.318336 | lrm: 0.20 | dt: 612.32ms | tok/sec: 80,271 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00008/23520 (0.03%) | loss: 10.289074 | lrm: 0.23 | dt: 612.57ms | tok/sec: 80,238 | bf16_mfu: 22.24 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00009/23520 (0.04%) | loss: 10.252940 | lrm: 0.25 | dt: 611.75ms | tok/sec: 80,346 | bf16_mfu: 22.27 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00010/23520 (0.04%) | loss: 10.206328 | lrm: 0.28 | dt: 612.22ms | tok/sec: 80,284 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00011/23520 (0.05%) | loss: 10.146882 | lrm: 0.30 | dt: 612.92ms | tok/sec: 80,193 | bf16_mfu: 22.23 | epoch: 1 pq: 0 rg: 1 | total time: 0.01m | eta: 240.2m
step 00012/23520 (0.05%) | loss: 10.065270 | lrm: 0.33 | dt: 612.04ms | tok/sec: 80,308 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 1 | total time: 0.02m | eta: 240.0m
step 00013/23520 (0.06%) | loss: 9.949978 | lrm: 0.35 | dt: 611.92ms | tok/sec: 80,324 | bf16_mfu: 22.27 | epoch: 1 pq: 0 rg: 2 | total time: 0.03m | eta: 239.9m
step 00014/23520 (0.06%) | loss: 9.795240 | lrm: 0.38 | dt: 612.41ms | tok/sec: 80,260 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 2 | total time: 0.04m | eta: 239.9m
step 00015/23520 (0.06%) | loss: 9.589062 | lrm: 0.40 | dt: 612.64ms | tok/sec: 80,230 | bf16_mfu: 22.24 | epoch: 1 pq: 0 rg: 2 | total time: 0.05m | eta: 239.9m
step 00016/23520 (0.07%) | loss: 9.407935 | lrm: 0.42 | dt: 613.56ms | tok/sec: 80,108 | bf16_mfu: 22.21 | epoch: 1 pq: 0 rg: 2 | total time: 0.06m | eta: 240.0m
step 00017/23520 (0.07%) | loss: 9.204593 | lrm: 0.45 | dt: 611.36ms | tok/sec: 80,397 | bf16_mfu: 22.29 | epoch: 1 pq: 0 rg: 2 | total time: 0.07m | eta: 239.9m
step 00018/23520 (0.08%) | loss: 9.000003 | lrm: 0.47 | dt: 612.11ms | tok/sec: 80,299 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 2 | total time: 0.08m | eta: 239.9m
step 00019/23520 (0.08%) | loss: 8.799200 | lrm: 0.50 | dt: 612.40ms | tok/sec: 80,261 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 2 | total time: 0.09m | eta: 239.9m
step 00020/23520 (0.09%) | loss: 8.637202 | lrm: 0.53 | dt: 611.71ms | tok/sec: 80,351 | bf16_mfu: 22.28 | epoch: 1 pq: 0 rg: 2 | total time: 0.10m | eta: 239.8m
step 00021/23520 (0.09%) | loss: 8.485389 | lrm: 0.55 | dt: 611.67ms | tok/sec: 80,356 | bf16_mfu: 22.28 | epoch: 1 pq: 0 rg: 2 | total time: 0.11m | eta: 239.8m
step 00022/23520 (0.09%) | loss: 8.340725 | lrm: 0.57 | dt: 612.49ms | tok/sec: 80,250 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 2 | total time: 0.12m | eta: 239.8m
step 00023/23520 (0.10%) | loss: 8.207107 | lrm: 0.60 | dt: 612.50ms | tok/sec: 80,247 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 2 | total time: 0.13m | eta: 239.8m
step 00024/23520 (0.10%) | loss: 8.084198 | lrm: 0.62 | dt: 613.28ms | tok/sec: 80,146 | bf16_mfu: 22.22 | epoch: 1 pq: 0 rg: 3 | total time: 0.14m | eta: 239.8m
step 00025/23520 (0.11%) | loss: 7.954971 | lrm: 0.65 | dt: 611.48ms | tok/sec: 80,382 | bf16_mfu: 22.28 | epoch: 1 pq: 0 rg: 3 | total time: 0.15m | eta: 239.8m
step 00026/23520 (0.11%) | loss: 7.841969 | lrm: 0.68 | dt: 611.89ms | tok/sec: 80,328 | bf16_mfu: 22.27 | epoch: 1 pq: 0 rg: 3 | total time: 0.16m | eta: 239.7m
step 00027/23520 (0.11%) | loss: 7.730222 | lrm: 0.70 | dt: 612.64ms | tok/sec: 80,230 | bf16_mfu: 22.24 | epoch: 1 pq: 0 rg: 3 | total time: 0.17m | eta: 239.7m
step 00028/23520 (0.12%) | loss: 7.627328 | lrm: 0.72 | dt: 611.29ms | tok/sec: 80,406 | bf16_mfu: 22.29 | epoch: 1 pq: 0 rg: 3 | total time: 0.18m | eta: 239.7m
step 00029/23520 (0.12%) | loss: 7.531196 | lrm: 0.75 | dt: 610.71ms | tok/sec: 80,483 | bf16_mfu: 22.31 | epoch: 1 pq: 0 rg: 3 | total time: 0.19m | eta: 239.7m
step 00030/23520 (0.13%) | loss: 7.438253 | lrm: 0.78 | dt: 612.15ms | tok/sec: 80,293 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 3 | total time: 0.20m | eta: 239.7m
step 00031/23520 (0.13%) | loss: 7.356797 | lrm: 0.80 | dt: 612.09ms | tok/sec: 80,301 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 3 | total time: 0.21m | eta: 239.6m
step 00032/23520 (0.14%) | loss: 7.281106 | lrm: 0.82 | dt: 611.38ms | tok/sec: 80,395 | bf16_mfu: 22.29 | epoch: 1 pq: 0 rg: 3 | total time: 0.22m | eta: 239.6m
step 00033/23520 (0.14%) | loss: 7.205121 | lrm: 0.85 | dt: 611.19ms | tok/sec: 80,420 | bf16_mfu: 22.29 | epoch: 1 pq: 0 rg: 3 | total time: 0.23m | eta: 239.6m
step 00034/23520 (0.14%) | loss: 7.151717 | lrm: 0.88 | dt: 612.12ms | tok/sec: 80,297 | bf16_mfu: 22.26 | epoch: 1 pq: 0 rg: 4 | total time: 0.24m | eta: 239.6m
step 00035/23520 (0.15%) | loss: 7.086346 | lrm: 0.90 | dt: 613.04ms | tok/sec: 80,177 | bf16_mfu: 22.23 | epoch: 1 pq: 0 rg: 4 | total time: 0.26m | eta: 239.6m
step 00036/23520 (0.15%) | loss: 7.031671 | lrm: 0.93 | dt: 612.63ms | tok/sec: 80,231 | bf16_mfu: 22.24 | epoch: 1 pq: 0 rg: 4 | total time: 0.27m | eta: 239.6m
step 00037/23520 (0.16%) | loss: 6.981720 | lrm: 0.95 | dt: 610.94ms | tok/sec: 80,453 | bf16_mfu: 22.30 | epoch: 1 pq: 0 rg: 4 | total time: 0.28m | eta: 239.6m
step 00038/23520 (0.16%) | loss: 6.933549 | lrm: 0.97 | dt: 612.59ms | tok/sec: 80,236 | bf16_mfu: 22.24 | epoch: 1 pq: 0 rg: 4 | total time: 0.29m | eta: 239.6m
step 00039/23520 (0.17%) | loss: 6.896885 | lrm: 1.00 | dt: 612.38ms | tok/sec: 80,263 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 4 | total time: 0.30m | eta: 239.6m
step 00040/23520 (0.17%) | loss: 6.848738 | lrm: 1.00 | dt: 612.46ms | tok/sec: 80,253 | bf16_mfu: 22.25 | epoch: 1 pq: 0 rg: 4 | total time: 0.31m | eta: 239.5m
